Ranking per year,Released,Title,Source,"Production
Budget","Opening Weekend
Revenue","Domestic
Box Office","Infl. Adj. Dom.
Box Office","International
Box Office","Worldwide
Box Office"
99,"Apr 18, 2003",Winged Migration,Based on Real Life Events,"$28,000,000","$33,128","$11,689,053","$17,659,580","$27,445,930","$39,134,983"
100,"Sep 26, 2003",Duplex,Original Screenplay,"$40,000,000","$4,617,128","$9,652,000","$14,582,040","$418,651","$10,070,651"
1,"May 19, 2004",Shrek 2,Based on Fiction Book/Short Story,"$70,000,000","$108,037,878","$441,226,247","$647,273,927","$495,781,885","$937,008,132"
2,"Jun 30, 2004",Spider-Man 2,Based on Comic/Graphic Novel,"$200,000,000","$88,156,227","$373,524,485","$547,956,206","$421,586,185","$795,110,670"
3,"Feb 25, 2004",The Passion of the Christ,Based on Religious Text,"$25,000,000","$83,848,082","$370,782,930","$543,911,111","$251,558,994","$622,341,924"
4,"Dec 22, 2004",Meet the Fockers,Original Screenplay,"$60,000,000","$46,120,980","$279,167,575","$404,193,819","$237,400,000","$516,567,575"
5,"Nov 5, 2004",The Incredibles,Original Screenplay,"$92,000,000","$70,467,623","$261,441,092","$383,083,289","$370,000,000","$631,441,092"
6,"Jun 4, 2004",Harry Potter and the Prisoner of Azkaban,Based on Fiction Book/Short Story,"$130,000,000","$93,687,367","$249,757,726","$366,070,829","$547,149,597","$796,907,323"
7,"Nov 10, 2004",The Polar Express,Based on Fiction Book/Short Story,"$170,000,000","$23,325,035","$188,042,855","$269,052,326","$124,140,582","$312,183,437"
8,"May 28, 2004",The Day After Tomorrow,Based on Fiction Book/Short Story,"$125,000,000","$68,743,584","$186,740,799","$273,946,646","$369,578,651","$556,319,450"
9,"Jul 23, 2004",The Bourne Supremacy,Based on Fiction Book/Short Story,"$85,000,000","$52,521,865","$176,087,450","$258,318,295","$134,913,674","$311,001,124"
10,"Nov 19, 2004",National Treasure,Original Screenplay,"$100,000,000","$35,142,554","$173,005,002","$252,950,392","$158,318,408","$331,323,410"
11,"Oct 1, 2004",Shark Tale,Original Screenplay,"$75,000,000","$47,604,606","$161,412,000","$236,759,826","$210,505,043","$371,917,043"
12,"Jul 16, 2004","I, Robot",Based on Fiction Book/Short Story,"$105,000,000","$52,179,887","$144,801,023","$212,421,468","$203,828,562","$348,629,585"
13,"May 14, 2004",Troy,Based on Fiction Book/Short Story,"$150,000,000","$46,865,412","$133,298,577","$195,547,507","$350,862,688","$484,161,265"
14,"Dec 10, 2004",Ocean's Twelve,Original Screenplay,"$110,000,000","$39,153,380","$125,531,634","$183,305,544","$237,457,442","$362,989,076"
15,"Feb 13, 2004",50 First Dates,Original Screenplay,"$75,000,000","$39,852,237","$120,776,832","$177,178,249","$75,543,497","$196,320,329"
16,"May 7, 2004",Van Helsing,Original Screenplay,"$170,000,000","$51,748,040","$120,150,546","$176,259,497","$180,000,000","$300,150,546"
17,"Dec 17, 2004",Lemony Snicket's A Series of Unfortun…,Based on Fiction Book/Short Story,"$100,000,000","$30,061,756","$118,627,117","$172,925,628","$94,328,907","$212,956,024"
18,"Jun 18, 2004",Dodgeball: A True Underdog Story,Original Screenplay,"$30,000,000","$30,070,196","$114,326,736","$167,716,029","$53,464,968","$167,791,704"
19,"Jul 30, 2004",The Village,Original Screenplay,"$71,682,975","$50,746,142","$114,197,520","$167,526,468","$143,444,114","$257,641,634"
20,"Dec 17, 2004",The Aviator,Based on Real Life Events,"$110,000,000","$858,021","$102,608,827","$147,273,089","$105,762,065","$208,370,892"
21,"Dec 15, 2004",Million Dollar Baby,Based on Fiction Book/Short Story,"$30,000,000","$179,953","$100,492,203","$142,872,176","$131,436,024","$231,928,227"
22,"Aug 6, 2004",Collateral,Original Screenplay,"$60,000,000","$24,701,458","$100,170,152","$146,948,481","$117,500,000","$217,670,152"
23,"Aug 11, 2004",The Princess Diaries 2: Royal Engagement,Based on Fiction Book/Short Story,"$45,000,000","$22,956,453","$95,149,435","$139,583,147","$26,922,000","$122,071,435"
24,"Mar 5, 2004",Starsky & Hutch,Based on TV,"$60,000,000","$28,103,367","$88,200,225","$129,388,729","$82,000,000","$170,200,225"
25,"Jan 16, 2004",Along Came Polly,Original Screenplay,"$42,000,000","$27,721,185","$88,073,507","$129,202,839","$84,970,903","$173,044,410"
26,"Apr 30, 2004",Mean Girls,Based on Fiction Book/Short Story,"$18,000,000","$24,432,195","$86,047,227","$126,230,310","$44,905,799","$130,953,026"
27,"Nov 19, 2004",SpongeBob SquarePants: The Movie,Based on TV,"$30,000,000","$32,018,216","$85,416,609","$125,144,234","$56,634,646","$142,051,255"
28,"Mar 26, 2004",Scooby-Doo 2: Monsters Unleashed,Based on TV,"$25,000,000","$29,438,331","$84,185,387","$123,499,014","$97,000,000","$181,185,387"
29,"Jul 9, 2004",Anchorman: The Legend of Ron Burgundy,Original Screenplay,"$25,000,000","$28,416,365","$84,136,909","$123,427,892","$5,339,356","$89,476,265"
30,"Jun 25, 2004",The Notebook,Based on Fiction Book/Short Story,"$30,000,000","$13,464,745","$81,001,787","$118,828,708","$35,023,236","$116,025,023"
31,"Aug 13, 2004",AVP: Alien Vs. Predator,Spin-Off,"$70,000,000","$38,291,056","$80,281,096","$117,771,456","$92,262,423","$172,543,519"
32,"Apr 23, 2004",Man on Fire,Remake,"$60,000,000","$22,751,490","$77,906,816","$114,288,412","$53,061,763","$130,968,579"
33,"Jun 18, 2004",The Terminal,Based on Real Life Events,"$75,000,000","$19,053,199","$77,073,959","$113,066,624","$141,600,000","$218,673,959"
34,"Jun 11, 2004",Garfield: The Movie,Based on Comic/Graphic Novel,"$50,000,000","$21,727,611","$75,367,693","$110,563,551","$132,726,857","$208,094,550"
35,"Oct 29, 2004",Ray,Based on Real Life Events,"$40,000,000","$20,039,730","$75,305,995","$110,303,916","$49,517,099","$124,823,094"
36,"Oct 1, 2004",Ladder 49,Original Screenplay,"$60,000,000","$22,088,204","$74,541,707","$109,321,130","$27,791,141","$102,332,848"
37,"Nov 24, 2004",Christmas with the Kranks,Based on Fiction Book/Short Story,"$50,000,000","$21,570,867","$73,701,902","$108,091,252","$22,767,285","$96,469,187"
38,"Oct 22, 2004",Sideways,Based on Fiction Book/Short Story,"$17,000,000","$207,042","$71,502,303","$102,645,750","$38,290,889","$109,793,192"
39,"Jun 23, 2004",White Chicks,Original Screenplay,"$20,000,000","$19,676,748","$69,148,997","$101,440,797","$42,300,000","$111,448,997"
40,"Mar 5, 2004",Hidalgo,Original Screenplay,"$78,000,000","$18,829,435","$67,286,731","$98,708,872","$40,800,000","$108,086,731"
41,"Sep 24, 2004",The Forgotten,Original Screenplay,"$50,000,000","$21,022,111","$66,711,892","$97,865,587","$50,500,000","$117,211,892"
42,"Apr 16, 2004",Kill Bill: Volume 2,Original Screenplay,"$55,000,000","$25,104,949","$66,207,920","$97,126,265","$87,328,062","$153,535,982"
43,"Jul 30, 2004",The Manchurian Candidate,Remake,"$80,000,000","$20,018,620","$65,948,711","$96,746,014","$30,200,000","$96,148,711"
44,"Feb 6, 2004",Barbershop 2: Back in Business,Original Screenplay,"$18,000,000","$24,241,612","$65,070,412","$95,457,559","$772,000","$65,842,412"
45,"Feb 6, 2004",Miracle,Based on Real Life Events,"$28,000,000","$19,377,577","$64,378,093","$94,441,931","$96,612","$64,474,705"
46,"Oct 8, 2004",Friday Night Lights,Based on Fiction Book/Short Story,"$30,000,000","$20,269,025","$61,255,921","$89,861,741","$694,849","$61,950,770"
47,"Apr 2, 2004",Hellboy,Based on Comic/Graphic Novel,"$60,000,000","$23,172,440","$59,623,958","$87,467,670","$40,200,000","$99,823,958"
48,"Jun 11, 2004",The Stepford Wives,Remake,"$100,000,000","$21,406,781","$59,475,623","$87,250,068","$36,746,348","$96,221,971"
49,"Mar 19, 2004",Dawn of the Dead,Remake,"$28,000,000","$26,722,575","$58,990,765","$86,538,787","$44,462,110","$103,452,875"
50,"Aug 20, 2004",Without a Paddle,Based on Fiction Book/Short Story,"$30,000,000","$13,528,946","$58,156,435","$85,312,599","$6,964,845","$65,121,280"
51,"Oct 15, 2004",Shall We Dance?,Remake,"$40,000,000","$11,783,467","$57,887,882","$84,887,080","$60,210,000","$118,097,882"
52,"Jun 11, 2004",The Chronicles of Riddick,Original Screenplay,"$120,000,000","$24,289,165","$57,712,751","$84,663,949","$49,500,000","$107,212,751"
53,"Apr 23, 2004",13 Going On 30,Original Screenplay,"$37,000,000","$21,054,238","$57,139,723","$83,823,324","$40,518,989","$97,658,712"
54,"Aug 27, 2004",Jet Li's Hero,Original Screenplay,"$17,000,000","$18,004,319","$53,652,140","$78,707,084","$123,883,818","$177,535,958"
55,"Dec 8, 2004",Blade: Trinity,Based on Comic/Graphic Novel,"$65,000,000","$16,061,271","$52,397,389","$76,668,758","$78,955,776","$131,353,165"
56,"Jul 7, 2004",King Arthur,Based on Folk Tale/Legend/Fairytale,"$90,000,000","$15,193,907","$51,877,963","$76,104,384","$152,000,000","$203,877,963"
57,"Nov 12, 2004",Finding Neverland,Based on Play,"$25,000,000","$220,524","$51,676,606","$74,573,130","$63,359,502","$115,036,108"
58,"Jul 16, 2004",A Cinderella Story,Based on Folk Tale/Legend/Fairytale,"$19,000,000","$13,623,350","$51,438,175","$75,459,214","$18,725,930","$70,164,105"
59,"Dec 22, 2004",The Phantom of the Opera,Based on Musical or Opera,"$55,000,000","$4,001,890","$51,225,796","$73,543,472","$102,544,256","$153,770,052"
60,"Sep 10, 2004",Resident Evil: Apocalypse,Based on Game,"$50,000,000","$23,036,273","$50,740,078","$74,435,113","$74,428,656","$125,168,734"
61,"Apr 2, 2004",Home on the Range,Original Screenplay,"$110,000,000","$13,880,771","$50,026,353","$73,388,092","$26,456,108","$76,482,461"
62,"Dec 25, 2004",Fat Albert,Based on TV,"$45,000,000","$10,021,510","$48,114,556","$69,906,578","$449,000","$48,563,556"
63,"Mar 12, 2004",Secret Window,Based on Fiction Book/Short Story,"$40,000,000","$18,237,568","$47,958,031","$70,353,888","$44,153,520","$92,111,551"
64,"Apr 2, 2004",Walking Tall,Remake,"$56,000,000","$15,501,114","$46,213,824","$67,795,153","$1,100,000","$47,313,824"
65,"Dec 29, 2004",In Good Company,Original Screenplay,"$26,000,000","$151,750","$45,489,752","$64,661,086","$18,000,000","$63,489,752"
66,"Dec 17, 2004",Spanglish,Original Screenplay,"$75,000,000","$8,817,853","$42,044,321","$61,173,094","$12,300,000","$54,344,321"
67,"Aug 20, 2004",Exorcist: The Beginning,Based on Fiction Book/Short Story,"$78,000,000","$18,054,001","$41,814,863","$61,341,930","$2,142,678","$43,957,541"
68,"Nov 12, 2004",Bridget Jones: The Edge Of Reason,Based on Fiction Book/Short Story,"$50,000,000","$8,684,055","$40,203,020","$58,962,489","$223,691,531","$263,894,551"
69,"Jul 23, 2004",Catwoman,Based on Comic/Graphic Novel,"$100,000,000","$16,728,411","$40,202,379","$58,976,436","$41,943,000","$82,145,379"
70,"Mar 26, 2004",The Ladykillers,Remake,"$35,000,000","$12,634,563","$39,692,139","$58,227,913","$37,700,000","$77,392,139"
71,"Sep 17, 2004",Sky Captain and the World of Tomorrow,Original Screenplay,"$70,000,000","$15,580,278","$37,760,080","$55,393,610","$11,970,774","$49,730,854"
72,"May 28, 2004",Raising Helen,Original Screenplay,"$50,000,000","$10,985,597","$37,485,528","$54,990,839","$12,443,152","$49,928,680"
73,"Mar 19, 2004",Eternal Sunshine of the Spotless Mind,Based on Fiction Book/Short Story,"$20,000,000","$8,175,198","$34,366,518","$50,415,287","$38,204,244","$72,570,762"
74,"Nov 24, 2004",Alexander,Based on Real Life Events,"$155,000,000","$13,687,087","$34,297,191","$50,300,000","$133,000,000","$167,297,191"
75,"Dec 3, 2004",Closer,Based on Play,"$35,000,000","$7,707,972","$33,987,757","$49,560,896","$82,189,938","$116,177,695"
76,"Apr 16, 2004",The Punisher,Based on Comic/Graphic Novel,"$33,000,000","$13,834,527","$33,664,370","$49,385,246","$20,869,404","$54,533,774"
77,"Oct 15, 2004",Team America: World Police,Original Screenplay,"$20,000,000","$12,120,358","$32,774,834","$48,079,164","$18,173,977","$50,948,811"
78,"Sep 10, 2004",Cellular,Original Screenplay,"$45,000,000","$10,100,571","$32,003,620","$46,948,941","$29,472,364","$61,475,984"
79,"Aug 27, 2004",Anacondas: The Hunt for the Blood Orchid,Original Screenplay,"$25,000,000","$12,812,287","$31,526,393","$46,248,855","$38,800,000","$70,326,393"
80,"Feb 20, 2004",Confessions of a Teenage Drama Queen,Based on Fiction Book/Short Story,"$15,000,000","$9,350,572","$29,331,068","$43,028,343","$3,787,786","$33,118,854"
81,"Nov 12, 2004",After the Sunset,Original Screenplay,"$57,000,000","$11,100,392","$28,328,132","$41,547,239","$10,000,982","$38,329,114"
82,"Apr 2, 2004",The Prince & Me,Original Screenplay,"$30,000,000","$9,406,378","$28,165,882","$41,319,024","$1,190,875","$29,356,757"
83,"Mar 26, 2004",Jersey Girl,Original Screenplay,"$35,000,000","$8,319,171","$25,266,129","$37,065,119","$11,800,000","$37,066,129"
84,"Feb 27, 2004",Twisted,Original Screenplay,"$50,000,000","$8,904,299","$25,195,050","$36,960,846","$14,924,798","$40,119,848"
85,"Dec 10, 2004",The Life Aquatic with Steve Zissou,Original Screenplay,"$50,000,000","$113,085","$24,006,726","$34,795,937","$10,800,000","$34,806,726"
86,"Jun 16, 2004",Around the World in 80 Days,Remake,"$110,000,000","$7,576,132","$24,004,159","$35,213,830","$48,000,000","$72,004,159"
87,"Dec 22, 2004",Hotel Rwanda,Original Screenplay,"$17,500,000","$100,091","$23,519,128","$33,445,306","$13,002,095","$36,521,223"
88,"Mar 12, 2004",Agent Cody Banks 2: Destination London,Original Screenplay,"$26,000,000","$8,014,005","$23,514,247","$34,495,133","$5,188,836","$28,703,083"
89,"Apr 9, 2004",Ella Enchanted,Based on Fiction Book/Short Story,"$35,000,000","$6,169,030","$22,913,677","$33,614,105",$0,"$22,913,677"
90,"Apr 9, 2004",The Alamo,Based on Real Life Events,"$92,000,000","$9,124,701","$22,406,362","$32,869,873","$1,505,000","$23,911,362"
91,"Sep 17, 2004",Mr. 3000,Original Screenplay,"$30,000,000","$8,679,028","$21,800,302","$31,980,792","$26,994","$21,827,296"
92,"Jan 16, 2004",Torque,Original Screenplay,"$40,000,000","$9,970,557","$21,176,322","$31,065,419","$25,000,000","$46,176,322"
93,"Dec 17, 2004",Flight of the Phoenix,Remake,"$75,000,000","$5,019,430","$21,009,180","$30,623,912","$13,000,000","$34,009,180"
94,"Aug 6, 2004",Little Black Book,Original Screenplay,"$30,000,000","$7,075,217","$20,422,207","$29,959,146","$1,336,164","$21,758,371"
95,"Aug 13, 2004",Yu-Gi-Oh,Based on Comic/Graphic Novel,"$20,000,000","$9,485,494","$19,762,690","$28,991,637","$9,000,000","$28,762,690"
96,"Jun 25, 2004",Two Brothers,Original Screenplay,"$72,000,000","$6,144,160","$19,176,754","$28,132,081","$43,000,000","$62,176,754"
97,"Apr 30, 2004",Laws of Attraction,Original Screenplay,"$32,000,000","$6,728,905","$17,848,322","$26,183,279","$12,100,000","$29,948,322"
98,"Feb 20, 2004",Eurotrip,Original Screenplay,"$25,000,000","$6,711,384","$17,718,223","$25,992,433","$3,000,000","$20,718,223"
99,"Nov 12, 2004",Seed of Chucky,Original Screenplay,"$29,000,000","$8,774,520","$17,016,190","$24,962,557","$7,700,000","$24,716,190"
100,"Jan 23, 2004",Win a Date with Tad Hamilton!,Original Screenplay,"$24,000,000","$7,320,066","$16,980,098","$24,909,610",$0,"$16,980,098"
1,"May 19, 2005",Star Wars Ep. III: Revenge of the Sith,Original Screenplay,"$115,000,000","$108,435,841","$380,270,577","$540,446,942","$468,728,300","$848,998,877"
2,"Dec 9, 2005","The Chronicles of Narnia: The Lion, t…",Based on Fiction Book/Short Story,"$180,000,000","$65,556,312","$291,710,957","$412,335,608","$428,828,615","$720,539,572"
3,"Nov 18, 2005",Harry Potter and the Goblet of Fire,Based on Fiction Book/Short Story,"$150,000,000","$102,685,961","$290,201,752","$411,719,381","$606,898,042","$897,099,794"
4,"Jun 29, 2005",War of the Worlds,Remake,"$132,000,000","$64,878,725","$234,280,354","$332,963,185","$372,556,181","$606,836,535"
5,"Dec 14, 2005",King Kong,Remake,"$207,000,000","$50,130,145","$218,080,025","$308,433,052","$332,437,332","$550,517,357"
6,"Jul 15, 2005",Wedding Crashers,Original Screenplay,"$40,000,000","$33,900,720","$209,218,368","$297,344,661","$74,000,000","$283,218,368"
7,"Jun 15, 2005",Batman Begins,Based on Comic/Graphic Novel,"$150,000,000","$48,745,440","$206,852,432","$291,838,030","$153,798,948","$360,651,380"
8,"Jul 15, 2005",Charlie and the Chocolate Factory,Remake,"$150,000,000","$56,178,450","$206,459,076","$293,423,115","$269,366,408","$475,825,484"
9,"May 27, 2005",Madagascar,Original Screenplay,"$75,000,000","$47,224,594","$193,595,521","$275,141,213","$362,964,045","$556,559,566"
10,"Jun 10, 2005",Mr. and Mrs. Smith,Original Screenplay,"$110,000,000","$50,342,878","$186,336,279","$264,824,256","$299,787,811","$486,124,090"
11,"Feb 11, 2005",Hitch,Original Screenplay,"$55,000,000","$43,142,214","$177,784,257","$252,669,977","$189,000,000","$366,784,257"
12,"May 27, 2005",The Longest Yard,Remake,"$82,000,000","$47,606,480","$158,119,460","$224,722,036","$33,439,045","$191,558,505"
13,"Jul 8, 2005",Fantastic Four,Based on Comic/Graphic Novel,"$87,500,000","$56,061,504","$154,696,080","$219,856,668","$178,436,670","$333,132,750"
14,"Nov 4, 2005",Chicken Little,Original Screenplay,"$150,000,000","$40,049,778","$135,386,665","$192,309,249","$174,657,158","$310,043,823"
15,"Mar 11, 2005",Robots,Original Screenplay,"$80,000,000","$36,045,301","$128,200,012","$182,200,009","$132,500,000","$260,700,012"
16,"Nov 18, 2005",Walk the Line,Based on Real Life Events,"$29,000,000","$22,347,341","$119,519,402","$169,019,187","$68,188,093","$187,707,495"
17,"Mar 4, 2005",The Pacifier,Original Screenplay,"$56,000,000","$30,552,694","$113,006,880","$160,607,278","$85,000,000","$198,006,880"
18,"Dec 21, 2005",Fun With Dick And Jane,Remake,"$140,000,000","$14,383,515","$110,550,000","$155,583,131","$92,468,919","$203,018,919"
19,"Aug 19, 2005",The 40 Year-old Virgin,Original Screenplay,"$26,000,000","$21,422,815","$109,449,237","$155,551,091","$66,827,602","$176,276,839"
20,"Sep 23, 2005",Flightplan,Original Screenplay,"$55,000,000","$24,629,938","$89,706,988","$127,475,620","$124,685,916","$214,392,904"
21,"May 13, 2005",Monster-in-Law,Original Screenplay,"$45,000,000","$23,105,133","$82,931,301","$117,863,358","$73,000,000","$155,931,301"
22,"Jan 21, 2005",Are We There Yet?,Original Screenplay,"$20,000,000","$18,575,214","$82,674,398","$117,498,238","$15,440,073","$98,114,471"
23,"Dec 21, 2005",Cheaper by the Dozen 2,Remake,"$60,000,000","$9,309,387","$82,571,173","$116,371,623","$52,444,157","$135,015,330"
24,"Aug 5, 2005",The Dukes of Hazzard,Based on TV,"$53,000,000","$30,675,314","$80,270,227","$114,081,396","$29,578,234","$109,848,461"
25,"Feb 18, 2005",Constantine,Based on Comic/Graphic Novel,"$75,000,000","$29,769,098","$75,976,178","$107,978,616","$145,618,733","$221,594,911"
26,"Mar 18, 2005",The Ring Two,Remake,"$50,000,000","$35,065,237","$75,941,727","$107,929,659","$86,000,000","$161,941,727"
27,"Sep 9, 2005",The Exorcism of Emily Rose,Based on Real Life Events,"$18,000,000","$30,054,300","$75,072,454","$106,694,234","$69,456,624","$144,529,078"
28,"Aug 12, 2005",Four Brothers,Original Screenplay,"$30,000,000","$21,176,925","$74,494,381","$105,872,667","$18,000,000","$92,494,381"
29,"Apr 1, 2005",Sin City,Based on Comic/Graphic Novel,"$40,000,000","$29,120,273","$74,103,820","$105,317,594","$84,424,098","$158,527,918"
30,"Apr 22, 2005",The Interpreter,Original Screenplay,"$90,000,000","$22,822,455","$72,708,161","$103,334,056","$90,045,676","$162,753,837"
31,"Mar 25, 2005",Guess Who,Remake,"$35,000,000","$20,671,446","$68,915,888","$97,944,416","$33,200,000","$102,115,888"
32,"Apr 8, 2005",Sahara,Based on Fiction Book/Short Story,"$145,000,000","$18,068,372","$68,671,925","$97,597,689","$53,000,000","$121,671,925"
33,"Jan 14, 2005",Coach Carter,Original Screenplay,"$45,000,000","$24,182,960","$67,264,877","$95,597,971","$9,400,630","$76,665,507"
34,"Jun 22, 2005",Herbie: Fully Loaded,Original Screenplay,"$50,000,000","$12,709,221","$66,010,682","$93,815,491","$78,100,000","$144,110,682"
35,"Apr 15, 2005",The Amityville Horror,Remake,"$18,500,000","$23,507,007","$65,233,369","$92,710,757","$43,942,304","$109,175,673"
36,"Jul 29, 2005",Sky High,Original Screenplay,"$35,000,000","$14,631,784","$63,939,454","$90,871,822","$19,169,905","$83,109,359"
37,"Jun 24, 2005",Bewitched,Based on TV,"$80,000,000","$20,131,130","$63,313,159","$89,981,720","$67,846,147","$131,159,306"
38,"Nov 4, 2005",Jarhead,Based on Fiction Book/Short Story,"$72,000,000","$27,726,210","$62,647,540","$89,029,880","$34,300,000","$96,947,540"
39,"Jun 3, 2005",Cinderella Man,Based on Real Life Events,"$88,000,000","$18,320,205","$61,649,911","$87,617,885","$43,371,577","$105,021,488"
40,"Dec 16, 2005",The Family Stone,Original Screenplay,"$18,000,000","$12,521,027","$60,062,868","$84,879,555","$32,294,631","$92,357,499"
41,"Aug 19, 2005",Red Eye,Original Screenplay,"$26,000,000","$16,167,662","$57,891,803","$82,276,801","$38,774,683","$96,666,486"
42,"Dec 9, 2005",Memoirs of a Geisha,Based on Fiction Book/Short Story,"$85,000,000","$682,504","$57,010,853","$80,148,486","$104,500,000","$161,510,853"
43,"Oct 5, 2005",Wallace & Gromit: The Curse of the We…,Original Screenplay,"$30,000,000","$16,025,987","$56,068,547","$79,684,059","$141,524,605","$197,593,152"
44,"Mar 4, 2005",Be Cool,Based on Fiction Book/Short Story,"$75,000,000","$23,450,212","$55,849,401","$79,374,109","$39,094,616","$94,944,017"
45,"Nov 23, 2005","Yours, Mine and Ours",Remake,"$45,000,000","$17,461,108","$53,359,917","$75,756,218","$19,000,000","$72,359,917"
46,"Sep 23, 2005",Corpse Bride,Based on Folk Tale/Legend/Fairytale,"$30,000,000","$385,078","$53,359,111","$75,834,865","$61,411,543","$114,770,654"
47,"May 13, 2005",Kicking and Screaming,Original Screenplay,"$45,000,000","$20,159,925","$52,842,724","$75,100,963","$3,000,000","$55,842,724"
48,"Jan 28, 2005",Hide and Seek,Original Screenplay,"$25,000,000","$21,959,233","$51,100,486","$72,624,865","$72,596,255","$123,696,741"
49,"Apr 29, 2005",The Hitchhiker's Guide to the Galaxy,Based on Fiction Book/Short Story,"$45,000,000","$21,103,203","$51,019,112","$72,509,214","$51,727,102","$102,746,214"
50,"Nov 23, 2005",Syriana,Based on Fiction Book/Short Story,"$50,000,000","$374,502","$50,824,620","$71,834,873","$41,866,339","$92,690,959"
51,"Jan 14, 2005",Racing Stripes,Original Screenplay,"$30,000,000","$13,920,052","$49,772,522","$70,737,547","$40,183,018","$89,955,540"
52,"Mar 24, 2005",Miss Congeniality 2: Armed and Fabulous,Original Screenplay,"$60,000,000","$14,043,215","$48,478,006","$68,897,755","$52,904,390","$101,382,396"
53,"Sep 16, 2005",Just Like Heaven,Based on Fiction Book/Short Story,"$58,000,000","$16,408,718","$48,318,130","$68,670,533","$52,368,953","$100,687,083"
54,"Aug 12, 2005",The Skeleton Key,Original Screenplay,"$40,000,000","$16,057,945","$47,907,715","$68,087,247","$44,349,203","$92,256,918"
55,"May 6, 2005",Kingdom of Heaven,Original Screenplay,"$110,000,000","$19,635,996","$47,398,413","$67,363,421","$171,454,940","$218,853,353"
56,"Dec 23, 2005",Munich,Based on Real Life Events,"$75,000,000","$4,152,260","$47,379,090","$66,330,211","$84,113,682","$131,492,772"
57,"Feb 4, 2005",Boogeyman,Original Screenplay,"$20,000,000","$19,020,655","$46,752,382","$66,445,270","$20,440,477","$67,192,859"
58,"Oct 28, 2005",The Legend of Zorro,Remake,"$80,000,000","$16,328,506","$45,575,336","$64,772,428","$95,900,000","$141,475,336"
59,"Jul 29, 2005",Must Love Dogs,Based on Fiction Book/Short Story,"$35,000,000","$12,855,321","$43,894,863","$62,384,114","$14,510,450","$58,405,313"
60,"Sep 2, 2005",The Transporter 2,Original Screenplay,"$32,000,000","$16,540,720","$43,095,856","$61,248,552","$45,882,602","$88,978,458"
61,"Dec 25, 2005",Rumor Has It,Original Screenplay,"$70,000,000","$3,470,000","$42,996,140","$60,543,147","$45,937,422","$88,933,562"
62,"Apr 8, 2005",Fever Pitch,Based on Fiction Book/Short Story,"$40,000,000","$12,400,125","$42,071,069","$59,792,109","$8,000,000","$50,071,069"
63,"Jun 10, 2005",The Adventures of Sharkboy and Lavagi…,Original Screenplay,"$50,000,000","$12,582,088","$39,177,684","$55,679,983","$30,248,282","$69,425,966"
64,"Jun 1, 2005",The Sisterhood of the Traveling Pants,Based on Fiction Book/Short Story,"$25,000,000","$9,833,340","$39,053,061","$55,502,866","$2,507,056","$41,560,117"
65,"Nov 11, 2005",Pride & Prejudice,Based on Fiction Book/Short Story,"$28,000,000","$2,865,017","$38,372,662","$54,396,429","$88,176,945","$126,549,607"
66,"Aug 26, 2005",The Brothers Grimm,Original Screenplay,"$80,000,000","$15,092,079","$37,899,638","$53,863,604","$67,400,000","$105,299,638"
67,"Mar 30, 2005",Beauty Shop,Spin-Off,"$25,000,000","$12,801,465","$36,351,350","$51,663,147","$2,000,000","$38,351,350"
68,"Nov 11, 2005",Derailed,Based on Fiction Book/Short Story,"$22,000,000","$12,211,986","$36,020,063","$51,181,984","$21,500,000","$57,520,063"
69,"Jul 22, 2005",The Island,Original Screenplay,"$120,000,000","$12,409,070","$35,818,913","$50,906,434","$127,200,000","$163,018,913"
70,"Mar 11, 2005",Hostage,Based on Fiction Book/Short Story,"$75,000,000","$10,214,734","$34,636,443","$49,225,894","$43,000,000","$77,636,443"
71,"Aug 31, 2005",The Constant Gardener,Based on Fiction Book/Short Story,"$25,500,000","$8,673,803","$33,579,798","$47,724,174","$52,721,801","$86,301,599"
72,"Oct 21, 2005",Dreamer: Inspired by a True Story,Based on Real Life Events,"$32,000,000","$9,178,233","$33,022,286","$46,931,823","$6,476,074","$39,498,360"
73,"Jul 22, 2005",The Bad News Bears,Remake,"$35,000,000","$11,382,472","$32,868,349","$46,713,046","$632,271","$33,500,620"
74,"Feb 18, 2005",Because of Winn-Dixie,Based on Fiction Book/Short Story,"$15,000,000","$10,208,431","$32,647,042","$46,398,524","$861,443","$33,508,485"
75,"Jul 29, 2005",Stealth,Original Screenplay,"$138,000,000","$13,251,545","$32,116,746","$45,644,853","$44,300,000","$76,416,746"
76,"May 6, 2005",House of Wax,Remake,"$35,000,000","$12,077,236","$32,064,800","$45,571,026","$38,000,000","$70,064,800"
77,"Feb 4, 2005",The Wedding Date,Based on Fiction Book/Short Story,"$15,000,000","$11,129,580","$31,726,995","$45,090,938","$15,448,043","$47,175,038"
78,"Sep 23, 2005",A History of Violence,Based on Comic/Graphic Novel,"$32,000,000","$515,992","$31,493,782","$44,750,516","$29,984,015","$61,477,797"
79,"Nov 9, 2005",Get Rich or Die Tryin',Original Screenplay,"$40,000,000","$12,020,807","$30,981,850","$44,026,553","$15,685,105","$46,666,955"
80,"Oct 14, 2005",The Fog,Remake,"$18,000,000","$11,752,917","$29,511,112","$41,941,684","$7,537,414","$37,048,526"
81,"Nov 23, 2005",Rent,Based on Musical or Opera,"$40,000,000","$10,016,021","$29,077,547","$41,324,509","$2,593,073","$31,670,620"
